,Server,Time_floor,variable,Value
88,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,88,CPU Usage,0.0
1095,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,88,Memory Usage,0.0
2102,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,88,Latency,0.0
89,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,89,CPU Usage,0.0
1096,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,89,Memory Usage,0.0
2103,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,89,Latency,0.0
90,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,90,CPU Usage,0.0
1097,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,90,Memory Usage,0.0
2104,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,90,Latency,0.0
91,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,91,CPU Usage,0.0
1098,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,91,Memory Usage,0.0
2105,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,91,Latency,0.0
92,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,92,CPU Usage,0.0
1099,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,92,Memory Usage,0.0
2106,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,92,Latency,0.0
93,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,93,CPU Usage,0.0
1100,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,93,Memory Usage,0.0
2107,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,93,Latency,0.0
94,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,94,CPU Usage,0.0
1101,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,94,Memory Usage,0.0
2108,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,94,Latency,0.0
95,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,95,CPU Usage,0.0
1102,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,95,Memory Usage,0.0
2109,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,95,Latency,0.0
96,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,96,CPU Usage,0.0
1103,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,96,Memory Usage,0.0
2110,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,96,Latency,0.0
97,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,97,CPU Usage,0.0
1104,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,97,Memory Usage,0.0
2111,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,97,Latency,0.0
98,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,98,CPU Usage,0.0
1105,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,98,Memory Usage,0.0
2112,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,98,Latency,0.0
99,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,99,CPU Usage,0.0
1106,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,99,Memory Usage,0.0
2113,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,99,Latency,0.0
100,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,3,CPU Usage,0.0
1107,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,3,Memory Usage,0.0
2114,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,3,Latency,0.0
101,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,4,CPU Usage,0.0
1108,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,4,Memory Usage,0.0
2115,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,4,Latency,0.0
102,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,5,CPU Usage,0.0
1109,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,5,Memory Usage,0.0
2116,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,5,Latency,0.0
103,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,6,CPU Usage,0.0
1110,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,6,Memory Usage,0.0
2117,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,6,Latency,0.0
104,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,7,CPU Usage,0.0
1111,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,7,Memory Usage,0.0
2118,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,7,Latency,0.0
105,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,8,CPU Usage,0.0
1112,balance#1d2feb73-79c2-42a0-bb30-56c02b598a15,8,Memory Usage,0.0
